ZIP_CD,PATIENT_COUNT,POPULATION,PERCENTAGE
46502,Suppressed,Suppressed,Suppressed
46771,Suppressed,Suppressed,Suppressed
46922,Suppressed,Suppressed,Suppressed
46968,Suppressed,Suppressed,Suppressed
46998,Suppressed,Suppressed,Suppressed
47034,Suppressed,Suppressed,Suppressed
47035,Suppressed,Suppressed,Suppressed
47434,Suppressed,Suppressed,Suppressed
47464,Suppressed,Suppressed,Suppressed
47869,Suppressed,Suppressed,Suppressed
47907,Suppressed,Suppressed,Suppressed
47916,Suppressed,Suppressed,Suppressed
47997,Suppressed,Suppressed,Suppressed
46045,Suppressed,Suppressed,Suppressed
46047,Suppressed,Suppressed,Suppressed
46063,Suppressed,Suppressed,Suppressed
46146,Suppressed,Suppressed,Suppressed
46508,Suppressed,Suppressed,Suppressed
46704,Suppressed,Suppressed,Suppressed
46946,Suppressed,Suppressed,Suppressed
46958,Suppressed,Suppressed,Suppressed
47160,Suppressed,Suppressed,Suppressed
47247,Suppressed,Suppressed,Suppressed
47337,Suppressed,Suppressed,Suppressed
47344,Suppressed,Suppressed,Suppressed
47361,Suppressed,Suppressed,Suppressed
47367,Suppressed,Suppressed,Suppressed
47381,Suppressed,Suppressed,Suppressed
47420,Suppressed,Suppressed,Suppressed
47455,Suppressed,Suppressed,Suppressed
47519,Suppressed,Suppressed,Suppressed
47552,Suppressed,Suppressed,Suppressed
47576,Suppressed,Suppressed,Suppressed
47836,Suppressed,Suppressed,Suppressed
47853,Suppressed,Suppressed,Suppressed
47863,Suppressed,Suppressed,Suppressed
47871,Suppressed,Suppressed,Suppressed
47880,Suppressed,Suppressed,Suppressed
47884,Suppressed,Suppressed,Suppressed
47924,Suppressed,Suppressed,Suppressed
47925,Suppressed,Suppressed,Suppressed
47969,Suppressed,Suppressed,Suppressed
47982,Suppressed,Suppressed,Suppressed
46144,Suppressed,Suppressed,Suppressed
46183,Suppressed,Suppressed,Suppressed
47263,Suppressed,Suppressed,Suppressed
47282,Suppressed,Suppressed,Suppressed
47335,Suppressed,Suppressed,Suppressed
47382,Suppressed,Suppressed,Suppressed
47388,Suppressed,Suppressed,Suppressed
47437,Suppressed,Suppressed,Suppressed
47574,Suppressed,Suppressed,Suppressed
47580,Suppressed,Suppressed,Suppressed
47654,Suppressed,Suppressed,Suppressed
47860,Suppressed,Suppressed,Suppressed
46111,Suppressed,Suppressed,Suppressed
46117,Suppressed,Suppressed,Suppressed
46127,Suppressed,Suppressed,Suppressed
46345,Suppressed,Suppressed,Suppressed
46376,Suppressed,Suppressed,Suppressed
46381,Suppressed,Suppressed,Suppressed
46537,Suppressed,Suppressed,Suppressed
47224,Suppressed,Suppressed,Suppressed
47616,Suppressed,Suppressed,Suppressed
47980,Suppressed,Suppressed,Suppressed
46104,Suppressed,Suppressed,Suppressed
46110,Suppressed,Suppressed,Suppressed
46125,Suppressed,Suppressed,Suppressed
46155,Suppressed,Suppressed,Suppressed
46290,Suppressed,Suppressed,Suppressed
46393,Suppressed,Suppressed,Suppressed
46595,Suppressed,Suppressed,Suppressed
46781,Suppressed,Suppressed,Suppressed
46786,Suppressed,Suppressed,Suppressed
46930,Suppressed,Suppressed,Suppressed
46957,Suppressed,Suppressed,Suppressed
46961,Suppressed,Suppressed,Suppressed
46967,Suppressed,Suppressed,Suppressed
46984,Suppressed,Suppressed,Suppressed
47016,Suppressed,Suppressed,Suppressed
47104,Suppressed,Suppressed,Suppressed
47114,Suppressed,Suppressed,Suppressed
47354,Suppressed,Suppressed,Suppressed
47386,Suppressed,Suppressed,Suppressed
47453,Suppressed,Suppressed,Suppressed
47528,Suppressed,Suppressed,Suppressed
47550,Suppressed,Suppressed,Suppressed
47568,Suppressed,Suppressed,Suppressed
47837,Suppressed,Suppressed,Suppressed
47855,Suppressed,Suppressed,Suppressed
47861,Suppressed,Suppressed,Suppressed
47866,Suppressed,Suppressed,Suppressed
47983,Suppressed,Suppressed,Suppressed
47994,Suppressed,Suppressed,Suppressed
46103,Suppressed,Suppressed,Suppressed
46348,Suppressed,Suppressed,Suppressed
46377,Suppressed,Suppressed,Suppressed
46379,Suppressed,Suppressed,Suppressed
46731,Suppressed,Suppressed,Suppressed
46799,Suppressed,Suppressed,Suppressed
46920,Suppressed,Suppressed,Suppressed
46943,Suppressed,Suppressed,Suppressed
47123,Suppressed,Suppressed,Suppressed
47162,Suppressed,Suppressed,Suppressed
47226,Suppressed,Suppressed,Suppressed
47524,Suppressed,Suppressed,Suppressed
47596,Suppressed,Suppressed,Suppressed
47612,Suppressed,Suppressed,Suppressed
47854,Suppressed,Suppressed,Suppressed
47881,Suppressed,Suppressed,Suppressed
47955,Suppressed,Suppressed,Suppressed
47958,Suppressed,Suppressed,Suppressed
47981,Suppressed,Suppressed,Suppressed
46915,Suppressed,Suppressed,Suppressed
46931,Suppressed,Suppressed,Suppressed
47116,Suppressed,Suppressed,Suppressed
47120,Suppressed,Suppressed,Suppressed
47351,Suppressed,Suppressed,Suppressed
47431,Suppressed,Suppressed,Suppressed
47467,Suppressed,Suppressed,Suppressed
47522,Suppressed,Suppressed,Suppressed
47536,Suppressed,Suppressed,Suppressed
47537,Suppressed,Suppressed,Suppressed
47590,Suppressed,Suppressed,Suppressed
47640,Suppressed,Suppressed,Suppressed
47849,Suppressed,Suppressed,Suppressed
47857,Suppressed,Suppressed,Suppressed
47942,Suppressed,Suppressed,Suppressed
47949,Suppressed,Suppressed,Suppressed
47964,Suppressed,Suppressed,Suppressed
47965,Suppressed,Suppressed,Suppressed
46057,Suppressed,Suppressed,Suppressed
46058,220,2149,10.237300
46150,Suppressed,Suppressed,Suppressed
46791,Suppressed,Suppressed,Suppressed
46913,Suppressed,Suppressed,Suppressed
46959,Suppressed,Suppressed,Suppressed
46987,Suppressed,Suppressed,Suppressed
46988,Suppressed,Suppressed,Suppressed
47010,Suppressed,Suppressed,Suppressed
47036,Suppressed,Suppressed,Suppressed
47270,Suppressed,Suppressed,Suppressed
47280,Suppressed,Suppressed,Suppressed
47325,Suppressed,Suppressed,Suppressed
47385,101,1612,6.265500
47449,Suppressed,Suppressed,Suppressed
47451,Suppressed,Suppressed,Suppressed
47465,Suppressed,Suppressed,Suppressed
47529,Suppressed,Suppressed,Suppressed
47578,Suppressed,Suppressed,Suppressed
47584,Suppressed,Suppressed,Suppressed
47597,Suppressed,Suppressed,Suppressed
47876,Suppressed,Suppressed,Suppressed
47943,Suppressed,Suppressed,Suppressed
46070,175,2351,7.443600
46162,Suppressed,Suppressed,Suppressed
46175,Suppressed,Suppressed,Suppressed
46745,137,1841,7.441600
46759,Suppressed,Suppressed,Suppressed
46974,98,1699,5.768000
47011,Suppressed,Suppressed,Suppressed
47017,Suppressed,Suppressed,Suppressed
47110,Suppressed,Suppressed,Suppressed
47223,Suppressed,Suppressed,Suppressed
47234,Suppressed,Suppressed,Suppressed
47244,Suppressed,Suppressed,Suppressed
47427,Suppressed,Suppressed,Suppressed
47469,92,1749,5.260100
47513,112,1841,6.083600
47516,Suppressed,Suppressed,Suppressed
47521,Suppressed,Suppressed,Suppressed
47551,Suppressed,Suppressed,Suppressed
47585,Suppressed,Suppressed,Suppressed
47966,Suppressed,Suppressed,Suppressed
47967,Suppressed,Suppressed,Suppressed
46076,86,1696,5.070700
46216,122,1697,7.189100
46301,Suppressed,Suppressed,Suppressed
46340,Suppressed,Suppressed,Suppressed
46365,Suppressed,Suppressed,Suppressed
46747,115,2693,4.270300
47003,Suppressed,Suppressed,Suppressed
47142,Suppressed,Suppressed,Suppressed
47339,Suppressed,Suppressed,Suppressed
47342,126,2693,4.678700
47369,Suppressed,Suppressed,Suppressed
47387,Suppressed,Suppressed,Suppressed
47468,Suppressed,Suppressed,Suppressed
47470,95,1735,5.475500
47514,214,1559,13.726700
47525,Suppressed,Suppressed,Suppressed
47535,Suppressed,Suppressed,Suppressed
47575,Suppressed,Suppressed,Suppressed
47577,Suppressed,Suppressed,Suppressed
47611,Suppressed,Suppressed,Suppressed
47619,100,1696,5.896200
47631,130,2042,6.366300
47637,78,1507,5.175800
47708,Suppressed,Suppressed,Suppressed
47832,Suppressed,Suppressed,Suppressed
47841,86,2138,4.022400
47929,Suppressed,Suppressed,Suppressed
47930,Suppressed,Suppressed,Suppressed
47974,Suppressed,Suppressed,Suppressed
46017,324,6025,5.377500
46035,Suppressed,Suppressed,Suppressed
46950,Suppressed,Suppressed,Suppressed
47135,Suppressed,Suppressed,Suppressed
47147,Suppressed,Suppressed,Suppressed
47163,88,1746,5.040000
47231,Suppressed,Suppressed,Suppressed
47264,Suppressed,Suppressed,Suppressed
47324,Suppressed,Suppressed,Suppressed
47360,98,1546,6.338900
47541,Suppressed,Suppressed,Suppressed
47557,Suppressed,Suppressed,Suppressed
47846,Suppressed,Suppressed,Suppressed
47848,107,1691,6.327600
47917,Suppressed,Suppressed,Suppressed
47921,Suppressed,Suppressed,Suppressed
47926,Suppressed,Suppressed,Suppressed
47940,Suppressed,Suppressed,Suppressed
47989,Suppressed,Suppressed,Suppressed
46068,166,2850,5.824500
46105,88,1928,4.564300
46156,Suppressed,Suppressed,Suppressed
46165,Suppressed,Suppressed,Suppressed
46531,Suppressed,Suppressed,Suppressed
46571,212,5532,3.832200
46702,103,2304,4.470400
46764,Suppressed,Suppressed,Suppressed
46766,Suppressed,Suppressed,Suppressed
46776,Suppressed,Suppressed,Suppressed
46788,172,3260,5.276000
46990,Suppressed,Suppressed,Suppressed
47038,44,1504,2.925500
47166,Suppressed,Suppressed,Suppressed
47281,Suppressed,Suppressed,Suppressed
47345,Suppressed,Suppressed,Suppressed
47352,Suppressed,Suppressed,Suppressed
47515,Suppressed,Suppressed,Suppressed
47531,Suppressed,Suppressed,Suppressed
47561,123,1588,7.745500
47588,Suppressed,Suppressed,Suppressed
47649,Suppressed,Suppressed,Suppressed
47833,Suppressed,Suppressed,Suppressed
47840,76,1500,5.066600
47858,Suppressed,Suppressed,Suppressed
47862,95,1610,5.900600
47941,Suppressed,Suppressed,Suppressed
47951,109,2252,4.840100
47968,Suppressed,Suppressed,Suppressed
47992,Suppressed,Suppressed,Suppressed
46049,Suppressed,Suppressed,Suppressed
46133,Suppressed,Suppressed,Suppressed
46147,146,3264,4.473000
46180,Suppressed,Suppressed,Suppressed
46763,84,1631,5.150200
46941,Suppressed,Suppressed,Suppressed
46986,99,1915,5.169700
46991,103,1797,5.731700
47115,121,2622,4.614700
47145,90,1998,4.504500
47230,107,2029,5.273500
47272,119,2041,5.830400
47273,79,1849,4.272500
47357,Suppressed,Suppressed,Suppressed
47373,160,2226,7.187700
47436,69,1663,4.149100
47527,163,1897,8.592500
47579,212,2659,7.972900
47581,154,3883,3.966000
47850,153,2456,6.229600
47922,156,1623,9.611800
47950,Suppressed,Suppressed,Suppressed
47977,157,2206,7.116900
47995,127,1743,7.286200
46030,175,3308,5.290200
46056,121,2246,5.387300
46065,272,3669,7.413400
46149,104,1890,5.502600
46374,Suppressed,Suppressed,Suppressed
46510,181,3631,4.984800
46532,104,1905,5.459300
46543,208,3654,5.692300
46737,391,7068,5.531900
46760,Suppressed,Suppressed,Suppressed
46917,119,1853,6.422000
46982,152,2573,5.907500
47326,80,2295,3.485800
47358,Suppressed,Suppressed,Suppressed
47523,236,3435,6.870400
47532,377,4627,8.147800
47598,176,3418,5.149200
47847,Suppressed,Suppressed,Suppressed
47859,Suppressed,Suppressed,Suppressed
47928,78,2047,3.810400
47948,Suppressed,Suppressed,Suppressed
47991,Suppressed,Suppressed,Suppressed
46039,Suppressed,Suppressed,Suppressed
46171,56,1695,3.303800
46524,109,2326,4.686100
46705,86,1583,5.432700
46730,Suppressed,Suppressed,Suppressed
46794,89,1587,5.608000
46798,68,1661,4.093900
46911,Suppressed,Suppressed,Suppressed
46939,86,2101,4.093200
46960,Suppressed,Suppressed,Suppressed
46979,344,4733,7.268100
46985,Suppressed,Suppressed,Suppressed
47020,Suppressed,Suppressed,Suppressed
47023,101,1636,6.173500
47030,91,1636,5.562300
47031,359,5368,6.687700
47037,246,4333,5.677300
47042,283,4504,6.283300
47137,Suppressed,Suppressed,Suppressed
47141,72,1668,4.316500
47175,Suppressed,Suppressed,Suppressed
47340,145,2914,4.975900
47341,123,2283,5.387600
47346,229,4082,5.609900
47356,316,5781,5.466100
47393,83,1704,4.870800
47456,Suppressed,Suppressed,Suppressed
47564,Suppressed,Suppressed,Suppressed
47615,59,1611,3.662300
46051,187,2826,6.617100
46160,339,6421,5.279500
46186,83,1753,4.734700
46205,1400,25356,5.521300
46278,487,8197,5.941100
46311,1875,20816,9.007400
46542,340,4198,8.099000
46555,196,2835,6.913500
46770,146,2716,5.375500
46773,241,3662,6.581100
46933,419,6414,6.532500
47032,244,3289,7.418600
47040,294,5480,5.364900
47041,351,6125,5.730600
47043,268,5250,5.104700
47124,237,4264,5.558100
47138,209,4373,4.779300
47164,171,3779,4.525000
47232,161,2839,5.671000
47320,276,4134,6.676300
47383,175,2960,5.912100
47394,739,8470,8.724900
47459,121,3795,3.188400
47471,93,2727,3.410300
47558,178,4406,4.039900
47613,179,2679,6.681500
47648,348,4373,7.957900
47868,91,2937,3.098300
47918,357,6321,5.647800
46148,246,5097,4.826300
46320,979,15508,6.312800
46327,837,12153,6.887100
46346,Suppressed,Suppressed,Suppressed
46349,220,3336,6.594700
46504,286,3413,8.379700
46554,284,4942,5.746600
46573,433,3565,12.145800
46590,425,4908,8.659300
46732,215,3169,6.784400
46740,156,4060,3.842300
46741,197,4647,4.239200
46746,278,4036,6.888000
46779,137,2166,6.325000
46785,70,1542,4.539500
46787,168,3893,4.315400
46910,277,3360,8.244000
46914,268,4908,5.460400
46928,291,4951,5.877600
46929,209,3214,6.502800
46938,149,3200,4.656200
47024,120,3226,3.719700
47118,116,3502,3.312300
47283,184,3386,5.434100
47305,224,4106,5.455400
47353,321,5879,5.460100
47405,65,4427,1.468200
47454,394,7688,5.124800
47638,319,3577,8.918000
47639,393,4069,9.658300
47725,1526,15851,9.627100
47901,169,3518,4.803800
47923,214,3494,6.124700
47954,140,2220,6.306300
47993,249,3918,6.355200
46507,797,9128,8.731300
46561,1122,13343,8.408900
46565,367,7950,4.616300
46574,438,8339,5.252400
46635,545,6654,8.190500
46701,441,7979,5.527000
46711,484,7698,6.287300
46723,426,7692,5.538200
46738,538,7918,6.794600
46809,459,8947,5.130200
46814,1043,12281,8.492700
46923,580,8048,7.206700
47167,659,15014,4.389200
47807,802,13045,6.147900
47872,647,8890,7.277800
47882,528,8430,6.263300
46031,109,2161,5.043900
46052,1135,22060,5.145000
46113,943,14063,6.705500
46163,785,11963,6.561800
46164,167,3957,4.220300
46166,102,2306,4.423200
46184,733,11806,6.208700
46217,2582,29358,8.794800
46225,334,7319,4.563400
46260,1832,32406,5.653200
46303,1064,14170,7.508800
46390,126,2796,4.506400
46501,244,3856,6.327800
46538,290,3867,7.499300
46784,129,2236,5.769200
46797,188,3957,4.751000
46803,582,9758,5.964300
46805,1523,21306,7.148200
46816,1307,18116,7.214600
46845,1960,22117,8.861900
46901,2520,37633,6.696200
46951,104,2170,4.792600
46978,101,2059,4.905200
46996,386,7139,5.406900
47102,412,7255,5.678800
47229,216,3231,6.685200
47265,1210,20911,5.786400
47334,179,3263,5.485700
47336,200,3807,5.253400
47359,158,3143,5.027000
47433,151,4025,3.751500
47448,361,7505,4.810100
47520,103,3267,3.152700
47970,127,2034,6.243800
47987,205,4049,5.062900
46071,172,3417,5.033600
46075,427,2913,14.658400
46157,175,3639,4.809000
46161,147,2655,5.536700
46511,447,4435,10.078900
47022,222,3358,6.611000
47143,236,3015,7.827500
47348,660,9828,6.715500
47424,357,9525,3.748000
47429,364,7986,4.557900
47542,798,9622,8.293400
47553,416,8495,4.896900
47665,269,3637,7.396200
47838,397,4081,9.728000
47874,205,3414,6.004600
47944,270,3623,7.452300
46044,215,2965,7.251200
46064,1100,17148,6.414700
46106,517,5928,8.721300
46121,244,5276,4.624700
46126,253,4668,5.419800
46181,296,4832,6.125800
46202,1405,16335,8.601100
46347,215,4760,4.516800
46366,267,5791,4.610600
46404,880,17326,5.079000
46408,823,17030,4.832600
46562,307,4788,6.411800
46616,379,5667,6.687800
46721,279,5058,5.516000
46807,998,16072,6.209500
46936,487,5922,8.223500
46994,184,2684,6.855400
47126,207,4250,4.870500
47136,234,4178,5.600700
47140,117,2669,4.383600
47172,1102,16059,6.862100
47243,376,5951,6.318200
47246,213,4342,4.905500
47368,152,2845,5.342700
47390,341,5310,6.421800
47438,264,4798,5.502200
47452,263,5359,4.907600
47635,253,5671,4.461200
47809,42,2687,1.563000
47952,129,2798,4.610400
47959,229,2822,8.114800
46011,984,16770,5.867600
46012,1087,19414,5.599000
46013,976,17876,5.459800
46228,847,14755,5.740400
46240,1085,18731,5.792500
46250,1069,18546,5.764000
46319,1222,18404,6.639800
46637,1218,15314,7.953500
46703,1219,18029,6.761300
46706,1383,18630,7.423500
46733,1465,18777,7.802000
46755,1141,15062,7.575300
46808,1095,19309,5.670900
46818,1321,18790,7.030300
46975,803,14691,5.465900
47112,1032,16722,6.171500
47170,1032,14795,6.975300
47501,1376,17535,7.847100
47720,1315,17413,7.551800
47834,1277,19215,6.645800
47960,1113,15003,7.418500
46036,727,11663,6.233300
46040,933,9944,9.382500
46055,839,10193,8.231100
46173,629,11190,5.621000
46231,706,10440,6.762400
46259,827,11617,7.118800
46341,646,10426,6.196000
46373,1265,13859,9.127600
46405,812,11746,6.912900
46506,850,10070,8.440900
46540,849,11702,7.255100
46615,968,14609,6.626000
46714,957,14645,6.534600
46761,690,12039,5.731300
47001,604,10422,5.795400
47006,771,11727,6.574500
47012,600,10188,5.889200
47111,953,14533,6.557400
47119,626,10911,5.737300
47122,620,9979,6.213000
47371,861,12226,7.042300
47446,493,9990,4.934900
47460,599,11471,5.221800
47586,482,10932,4.409000
47601,955,13896,6.872400
47620,891,13427,6.635800
47804,875,11020,7.940100
47842,680,10085,6.742600
47978,707,11793,5.995000
46107,746,12774,5.839900
46394,803,12258,6.550800
46407,524,12656,4.140300
46550,1059,12311,8.602000
46582,1117,12378,9.024000
47670,1031,12352,8.346800
47805,986,12852,7.671900
46001,687,10459,6.568500
46048,90,2406,3.740600
46120,249,5954,4.182000
46130,114,2508,4.545400
46172,105,2427,4.326300
46182,158,1927,8.199200
46201,1472,30962,4.754200
46382,124,2108,5.882300
46409,353,8932,3.952000
46570,Suppressed,Suppressed,Suppressed
46919,153,2390,6.401600
47108,81,2463,3.288600
47125,74,1658,4.463200
47177,Suppressed,Suppressed,Suppressed
47227,51,1598,3.191400
47235,83,1784,4.652400
47380,101,2004,5.039900
47384,104,2000,5.200000
47462,250,4871,5.132400
47713,673,11032,6.100400
47946,145,2044,7.093900
47975,Suppressed,Suppressed,Suppressed
47990,93,1627,5.716000
46041,2011,23891,8.417300
46118,233,5015,4.646000
46167,410,6336,6.470900
46168,2307,30309,7.611600
46204,859,5125,16.760900
46241,1770,30670,5.771100
46268,1488,24965,5.960300
46322,1613,23727,6.798100
46342,2415,31244,7.729400
46375,1845,23820,7.745500
46530,2478,30614,8.094300
46534,713,11263,6.330400
46601,376,6090,6.174000
46613,1016,10893,9.327000
46748,481,5134,9.368900
46765,400,5341,7.489200
46774,1138,16008,7.108900
46795,367,5608,6.544200
46802,612,11086,5.520400
46989,275,5195,5.293500
46992,1287,16759,7.679400
47220,362,5652,6.404800
47330,408,5755,7.089400
47610,376,5195,7.237700
47660,304,4934,6.161300
47904,976,16277,5.996100
47932,539,5357,10.061600
46034,397,6730,5.898900
46122,982,14671,6.693400
46176,1976,27816,7.103800
46229,1553,27262,5.696500
46310,850,13565,6.266100
46403,591,12601,4.690100
46536,238,3445,6.908500
46619,1922,21408,8.977900
46710,336,4679,7.181000
46792,249,3499,7.116300
46932,208,3448,6.032400
47106,268,4718,5.680300
47117,208,4429,4.696300
47129,1299,19527,6.652300
47161,220,3735,5.890200
47250,1280,21944,5.833000
47432,253,4537,5.576300
47512,247,3981,6.204400
47633,173,2542,6.805600
47634,134,2382,5.625500
47666,Suppressed,Suppressed,Suppressed
47710,1302,19527,6.667600
47803,1483,21102,7.027700
47879,162,3302,4.906100
47920,136,2414,5.633800
46016,794,19225,4.130000
46062,2299,29730,7.732900
46128,104,1949,5.336000
46135,1145,20992,5.454400
46236,1590,27294,5.825400
46312,2384,29698,8.027400
46323,1692,22743,7.439600
46356,1254,17524,7.155900
46614,2297,29573,7.767200
46743,130,1971,6.595600
46750,1439,27221,5.286300
46793,231,4292,5.382100
46804,1792,27245,6.577300
46825,1924,27931,6.888400
46952,1275,20308,6.278300
47018,283,4275,6.619800
47240,1485,20832,7.128400
47260,87,1911,4.552500
47302,1361,27592,4.932500
47327,269,4597,5.851600
47338,139,2827,4.916800
47355,142,2885,4.922000
47406,1072,4730,22.663800
47421,1701,27831,6.111800
47443,Suppressed,Suppressed,Suppressed
47562,256,4658,5.495900
47715,2065,27063,7.630300
47933,1798,27937,6.435900
47957,81,1894,4.276600
47963,113,1949,5.797800
47971,109,1865,5.844500
46077,1775,24512,7.241300
46158,1300,23053,5.639100
46208,1175,22239,5.283500
46214,1677,24306,6.899500
46218,1319,29028,4.543800
46221,1514,26393,5.736300
46220,1953,34830,5.607200
46222,2346,34044,6.891000
46224,2479,35094,7.063800
46235,1728,30825,5.605800
46237,2954,39624,7.455000
46254,2450,38095,6.431200
46368,2796,38691,7.226400
46383,2603,39687,6.558800
46385,2756,38866,7.091000
46410,2844,38340,7.417800
46514,3942,40263,9.790600
46526,3795,30671,12.373200
46544,2271,30759,7.383200
46902,2111,35697,5.913600
47304,1858,30516,6.088600
47362,2465,30243,8.150600
47403,1447,30955,4.674500
47630,2669,34423,7.753500
47711,2205,31457,7.009500
47714,2041,34107,5.984100
47802,2965,34532,8.586200
47905,2822,38910,7.252600
47909,3041,39373,7.723500
46069,367,6664,5.507200
46072,572,9324,6.134700
46280,361,6793,5.314200
46402,262,6726,3.895300
46552,398,6834,5.823800
46556,772,7314,10.555000
46567,749,9405,7.963800
46777,442,6259,7.061800
46783,417,6396,6.519600
47060,403,6448,6.250000
47165,286,6438,4.442300
47306,93,6189,1.502600
47396,546,7030,7.766700
47441,601,9269,6.483900
47567,458,6021,7.606700
47885,629,9009,6.981900
46050,102,1706,5.978800
46115,99,1933,5.121500
46124,482,8127,5.930800
46371,187,3599,5.195800
46391,600,9726,6.169000
46392,407,7957,5.114900
46406,535,9900,5.404000
46539,147,2298,6.396800
46553,347,3428,10.122500
46617,820,9601,8.540700
46742,180,3488,5.160500
46767,898,8564,10.485700
46772,168,3411,4.925200
46819,623,8765,7.107800
46926,118,1708,6.908600
46940,222,2548,8.712700
46962,592,9728,6.085500
46234,1682,24810,6.779500
46256,1268,23647,5.362200
46304,1643,24207,6.787200
46321,1595,23603,6.757600
46324,1673,23165,7.222100
46517,3041,23764,12.796600
46528,2750,26104,10.534700
46563,2050,23599,8.686800
46580,2013,21338,9.433800
46725,1440,23080,6.239100
46806,1819,23560,7.720700
46815,1694,26522,6.387100
46947,3178,28866,11.009400
46953,1445,24177,5.976700
46970,1621,23766,6.820600
47025,1438,22932,6.270700
47274,2391,28770,8.310700
47331,1898,23429,8.101000
47408,1089,24776,4.395300
47712,1865,26012,7.169700
46074,2379,26745,8.895100
46143,3754,48555,7.731400
46239,1959,25345,7.729300
46545,1821,25082,7.260100
46628,1848,25650,7.204600
47130,2658,44722,5.943300
47150,2821,47472,5.942400
47201,2502,41662,6.005400
47203,1647,25806,6.382200
47303,1625,25365,6.406400
47374,3202,46875,6.830900
47401,1577,41011,3.845300
47404,1133,21026,5.388500
47546,1851,21009,8.810500
47591,1831,26770,6.839700
46032,2943,42234,6.968300
46226,2050,43904,4.669200
46227,4053,57086,7.099800
46307,4912,60619,8.103000
46350,2588,43650,5.928900
46360,2267,43625,5.196500
46516,3733,33501,11.142900
46835,2358,33604,7.017000
47906,5243,66972,7.828600
46033,2018,34889,5.784000
46037,2890,35891,8.052100
46038,2676,37723,7.093800
46060,2662,34708,7.669700
46112,2501,33662,7.429700
46123,2464,31754,7.759600
46131,2067,31036,6.660000
46140,2306,38543,5.982900
46142,2051,30413,6.743800
46151,1814,30921,5.866500
46203,2018,38950,5.181000
46219,1862,33930,5.487700
